"","rider","location","number","finish","lap","time","behind","place","year","round","moto","track","date","race_id","class","type","points"
"63","MITCHELL HARRISON","Florida","8",4,12,134.041,39.764,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"64","MITCHELL HARRISON","Florida","8",4,13,131.982,39.127,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"65","MITCHELL HARRISON","Florida","8",4,14,131.363,37.214,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"66","MITCHELL HARRISON","Florida","8",4,15,132.147,34.919,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"67","MITCHELL HARRISON","Florida","8",4,16,132.602,35.303,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"68","MITCHELL HARRISON","Florida","8",4,17,134.863,36.036,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"69","PRESTON KILROY","Wyoming","808",5,1,67.578,7.578,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"70","PRESTON KILROY","Wyoming","808",5,2,134.413,10.687,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"71","PRESTON KILROY","Wyoming","808",5,3,133.075,14.215,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"72","PRESTON KILROY","Wyoming","808",5,4,132.056,16.722,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"73","PRESTON KILROY","Wyoming","808",5,5,133.728,20.38,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"74","PRESTON KILROY","Wyoming","808",5,6,131.772,22.548,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"75","PRESTON KILROY","Wyoming","808",5,7,132.123,25.464,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"76","PRESTON KILROY","Wyoming","808",5,8,134.341,29.914,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"77","PRESTON KILROY","Wyoming","808",5,9,133.072,32.651,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"78","PRESTON KILROY","Wyoming","808",5,10,133.072,35.084,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"79","PRESTON KILROY","Wyoming","808",5,11,134.247,37.375,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"80","PRESTON KILROY","Wyoming","808",5,12,133.533,40.437,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"81","PRESTON KILROY","Wyoming","808",5,13,132.166,39.984,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"82","PRESTON KILROY","Wyoming","808",5,14,132.059,38.767,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"83","PRESTON KILROY","Wyoming","808",5,15,132.821,37.146,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"84","PRESTON KILROY","Wyoming","808",5,16,132.717,37.645,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"85","PRESTON KILROY","Wyoming","808",5,17,134.546,38.061,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"86","AARON TANTI","Quebec","109",6,1,62.774,2.774,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"87","AARON TANTI","Quebec","109",6,2,134.154,5.624,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"88","AARON TANTI","Quebec","109",6,3,131.581,7.658,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"89","AARON TANTI","Quebec","109",6,4,133.662,11.771,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"90","AARON TANTI","Quebec","109",6,5,133.49,15.191,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"91","AARON TANTI","Quebec","109",6,6,135.287,20.874,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"92","AARON TANTI","Quebec","109",6,7,133.106,24.773,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"93","AARON TANTI","Quebec","109",6,8,132.995,27.877,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"94","AARON TANTI","Quebec","109",6,9,132.799,30.341,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"95","AARON TANTI","Quebec","109",6,10,132.606,32.308,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"96","AARON TANTI","Quebec","109",6,11,145.531,45.883,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"97","AARON TANTI","Quebec","109",6,12,133.763,49.175,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"98","AARON TANTI","Quebec","109",6,13,134.291,50.847,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"99","AARON TANTI","Quebec","109",6,14,134.588,52.159,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"100","AARON TANTI","Quebec","109",6,15,134.765,52.482,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"101","AARON TANTI","Quebec","109",6,16,134.617,54.881,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"102","AARON TANTI","Quebec","109",6,17,133.621,54.372,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"103","TANNER WARD","Ontario","84",7,1,72.382,12.382,12,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"104","TANNER WARD","Ontario","84",7,2,136.006,17.084,11,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"105","TANNER WARD","Ontario","84",7,3,134.679,22.216,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"106","TANNER WARD","Ontario","84",7,4,133.898,26.565,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"107","TANNER WARD","Ontario","84",7,5,134.248,30.743,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"108","TANNER WARD","Ontario","84",7,6,133.807,34.946,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"109","TANNER WARD","Ontario","84",7,7,131.216,36.955,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"110","TANNER WARD","Ontario","84",7,8,132.705,39.769,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"111","TANNER WARD","Ontario","84",7,9,133.443,42.877,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"112","TANNER WARD","Ontario","84",7,10,132.59,44.828,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"113","TANNER WARD","Ontario","84",7,11,134.355,47.227,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"114","TANNER WARD","Ontario","84",7,12,133.758,50.514,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"115","TANNER WARD","Ontario","84",7,13,133.784,51.679,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"116","TANNER WARD","Ontario","84",7,14,134.519,52.922,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"117","TANNER WARD","Ontario","84",7,15,134.291,52.771,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"118","TANNER WARD","Ontario","84",7,16,135.247,55.8,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"119","TANNER WARD","Ontario","84",7,17,134.008,55.678,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"120","KEYLAN MESTON","Alberta","10",8,1,68.51,8.51,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"121","KEYLAN MESTON","Alberta","10",8,2,135.787,12.993,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"122","KEYLAN MESTON","Alberta","10",8,3,133.345,16.791,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"123","KEYLAN MESTON","Alberta","10",8,4,134.601,21.843,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"124","KEYLAN MESTON","Alberta","10",8,5,133.831,25.604,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"125","KEYLAN MESTON","Alberta","10",8,6,135.365,31.365,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
