finish,rider,number,lap,time,behind,place,year,round,moto,track,date,race_id,class,type,points
33,"DAWSON GRAVELLEMission, BR",79,12,156.901,332.343,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
33,"DAWSON GRAVELLEMission, BR",79,13,158.615,363.642,33,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,1,116.902,56.902,37,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,2,145.707,80.198,36,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,3,149.044,106.244,37,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,4,150.668,134.068,36,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,5,151.002,160.947,35,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,6,154.394,191.459,35,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,7,155.912,222.316,35,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,8,149.538,245.177,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,9,153.548,273.629,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,10,152.143,300.756,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,11,155.515,329.047,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,12,154.207,355.841,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
34,"ZACK ZAGERMelbourne, ON",781,13,156.909,385.434,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
35,"GAGE LINVILLELakepark, Ge",402,1,70.742,10.742,7,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
35,"GAGE LINVILLELakepark, Ge",402,2,127.96,16.291,7,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
35,"GAGE LINVILLELakepark, Ge",402,3,130.683,23.976,8,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
35,"GAGE LINVILLELakepark, Ge",402,4,129.17,30.302,8,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
35,"GAGE LINVILLELakepark, Ge",402,5,129.523,35.702,7,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
35,"GAGE LINVILLELakepark, Ge",402,6,130.788,42.608,7,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
35,"GAGE LINVILLELakepark, Ge",402,7,146.85,64.403,10,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
36,"JACOB FREDERICKSONReddeercounty, AB",120X,1,106.154,46.154,35,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
36,"JACOB FREDERICKSONReddeercounty, AB",120X,2,136.416,60.159,34,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
36,"JACOB FREDERICKSONReddeercounty, AB",120X,3,167.652,104.813,36,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
36,"JACOB FREDERICKSONReddeercounty, AB",120X,4,157.104,139.073,37,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
36,"JACOB FREDERICKSONReddeercounty, AB",120X,5,168.847,183.797,36,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
36,"JACOB FREDERICKSONReddeercounty, AB",120X,6,156.236,216.151,36,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
37,"ANTHONY VOGHELLST CESAIRE, QC",22,1,86.356,26.356,24,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
37,"ANTHONY VOGHELLST CESAIRE, QC",22,2,139.053,42.998,25,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
37,"ANTHONY VOGHELLST CESAIRE, QC",22,3,139.533,59.533,25,2024,5,2,Sand Del Lee MX101,2024-07-14,250_2024_10,250,mx,0
