"","finish","rider","number","lap","time","behind","place","year","round","moto","track","date","race_id","class","type","points"
"76",5,"PRESTON KILROYAfton, WY","808",8,134.341,29.914,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"77",5,"PRESTON KILROYAfton, WY","808",9,133.072,32.651,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"78",5,"PRESTON KILROYAfton, WY","808",10,133.072,35.084,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"79",5,"PRESTON KILROYAfton, WY","808",11,134.247,37.375,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"80",5,"PRESTON KILROYAfton, WY","808",12,133.533,40.437,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"81",5,"PRESTON KILROYAfton, WY","808",13,132.166,39.984,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"82",5,"PRESTON KILROYAfton, WY","808",14,132.059,38.767,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"83",5,"PRESTON KILROYAfton, WY","808",15,132.821,37.146,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"84",5,"PRESTON KILROYAfton, WY","808",16,132.717,37.645,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"85",5,"PRESTON KILROYAfton, WY","808",17,134.546,38.061,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"86",6,"AARON TANTIEdensLanding, Qu","109",1,62.774,2.774,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"87",6,"AARON TANTIEdensLanding, Qu","109",2,134.154,5.624,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"88",6,"AARON TANTIEdensLanding, Qu","109",3,131.581,7.658,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"89",6,"AARON TANTIEdensLanding, Qu","109",4,133.662,11.771,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"90",6,"AARON TANTIEdensLanding, Qu","109",5,133.49,15.191,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"91",6,"AARON TANTIEdensLanding, Qu","109",6,135.287,20.874,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"92",6,"AARON TANTIEdensLanding, Qu","109",7,133.106,24.773,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"93",6,"AARON TANTIEdensLanding, Qu","109",8,132.995,27.877,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"94",6,"AARON TANTIEdensLanding, Qu","109",9,132.799,30.341,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"95",6,"AARON TANTIEdensLanding, Qu","109",10,132.606,32.308,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"96",6,"AARON TANTIEdensLanding, Qu","109",11,145.531,45.883,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"97",6,"AARON TANTIEdensLanding, Qu","109",12,133.763,49.175,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"98",6,"AARON TANTIEdensLanding, Qu","109",13,134.291,50.847,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"99",6,"AARON TANTIEdensLanding, Qu","109",14,134.588,52.159,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"100",6,"AARON TANTIEdensLanding, Qu","109",15,134.765,52.482,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"101",6,"AARON TANTIEdensLanding, Qu","109",16,134.617,54.881,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"102",6,"AARON TANTIEdensLanding, Qu","109",17,133.621,54.372,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
"103",7,"TANNER WARDWoodstock, ON","84",1,72.382,12.382,12,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"104",7,"TANNER WARDWoodstock, ON","84",2,136.006,17.084,11,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"105",7,"TANNER WARDWoodstock, ON","84",3,134.679,22.216,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"106",7,"TANNER WARDWoodstock, ON","84",4,133.898,26.565,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"107",7,"TANNER WARDWoodstock, ON","84",5,134.248,30.743,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"108",7,"TANNER WARDWoodstock, ON","84",6,133.807,34.946,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"109",7,"TANNER WARDWoodstock, ON","84",7,131.216,36.955,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"110",7,"TANNER WARDWoodstock, ON","84",8,132.705,39.769,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"111",7,"TANNER WARDWoodstock, ON","84",9,133.443,42.877,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"112",7,"TANNER WARDWoodstock, ON","84",10,132.59,44.828,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"113",7,"TANNER WARDWoodstock, ON","84",11,134.355,47.227,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"114",7,"TANNER WARDWoodstock, ON","84",12,133.758,50.514,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"115",7,"TANNER WARDWoodstock, ON","84",13,133.784,51.679,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
"116",7,"TANNER WARDWoodstock, ON","84",14,134.519,52.922,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",14
